OutletID,Outlet,Type,Symbol,Notes,Lat,Lon,Ele
1,42 SO1,Outlet Combo,"Navaid, Red/White",,211050.201,186609.142,654.377
2,42 SO2,Outlet Combo,"Navaid, Red/White",,211115.841,186550.66,659.695
,42 SO3,Outlet Combo,"Navaid, Red/White",,211230.243,186450.511,659.688
,42-NO1,Outlet Combo,"Navaid, Red/White",2019,210803.804,186849.332,647.198
,A5-02,Outlet Combo,"Navaid, Red/White",2023 New,209357.773,186529.766,616.798
,A5-03,Outlet Combo,"Navaid, Red/White",2023 New,209361.964,186541.366,620.079
,A5-04,Outlet Combo,"Navaid, Red/White",2023 New,209381.52,186589.69,620.079
,A5DS-02A,Outlet Combo,"Navaid, Red/White",2023 New,209651.15,186840.296,
,A5DS-02B,Outlet Combo,"Navaid, Red/White",2023 New,209584.067,186737.275,613.517
,A5DS-04,Outlet Combo,"Navaid, Red/White",2023 New,209533.054,186586.697,613.517
,A5DS-06,Outlet Combo,"Navaid, Red/White",2023 New,209503.564,186540.629,620.079
,A5DS-08,Outlet Combo,"Navaid, Red/White",2023 New,209499.463,186492.669,620.079
,A5DS-10,Outlet Combo,"Navaid, Red/White",2023 New,209474.054,186448.73,620.079
,A5DS-12,Outlet Combo,"Navaid, Red/White",2023 New,209439.344,186414.347,620.079
,A5DS-14&16,Outlet Combo,"Navaid, Red/White",2023 New,209404.238,186380.026,620.079
,A5DS-18&20,Outlet Combo,"Navaid, Red/White",2023 New,209377.032,186353.418,620.079
,A5N-01,Outlet Combo,"Navaid, Red/White",2023 New,209333.703,186517.605,616.798
,A5PS-01,Outlet Combo,"Navaid, Red/White",2023 New,209524.527,186687.855,620.079
,A5PS-03,Outlet Combo,"Navaid, Red/White",2023 New,209480.3,186533.018,620.079
,A5PS-05,Outlet Combo,"Navaid, Red/White",2023 NEW,209449.491,186453.281,620.079
,A5PS-11&13,Outlet Combo,"Navaid, Red/White",2023 New,209366.48,186430.135,620.079
