DisplayName,YearBuilt,Designer,Theme,Pallet,ReceptacleNo,FrameSize,MorA,Controller,TotalAmps,DisplayTotalLights,YearRetired,Notes,DumbController
180 Tree RGB,2020,Greg Liebig,Christmas ,,,,M,Pixie16 ,,2400,,ts on Left,
180 Tree Star,2021,Greg Liebig,Christmas ,,,,M,Pixie4 ,,600,,Metal  constructed 2018,
Amominable,2018,Eric Sandvig,Christmas ,,,,A,,0.89,1602,,Moved from Stacie's Island 2019,
Angel 1,2013,Hospice Donation,Christmas ,,,,A,LOR1602Wg3,1.24,2157,,?? Where do these go?,
Angel 2,2013,Hospice Donation,Christmas ,,,,A,LOR1602Wg3,,,,?? Where do these go?,
Angel 3,2013,Hospice Donation,Christmas ,,,,A,LOR1602Wg3,,,,?? Where do these go?,
Angels 3D 1,2015,Brian Muehlbroeck,Christmas ,,,,A,CTB04_PC,1.61,422,,,
Angels 3D 2,2015,Brian Muehlbroeck,Christmas ,,,,A,CTB04_PC,1.61,422,,,
Angels 3D 3,2018,Brian Muehlbroeck,Christmas ,,,,A,CTB04_PC,1.61,422,,,
Angels 3D 4,2018,Brian Muehlbroeck,Christmas ,,,,A,CTB04_PC,1.61,422,,,
Arrow Panel 11L,2020,Eric Sandvig,Traffic Control & Security,,,,A,,,136,,Original Panel 2015,
Arrow Panel 3L,2020,Eric Sandvig,Traffic Control & Security,,,,A,,0,136,,Original Panel 2015,
Arrow Panel 4L,2020,Eric Sandvig,Traffic Control & Security,,,,A,,,136,,Original Panel 2015,
Arrow Panel 5,2020,Eric Sandvig,Traffic Control & Security,,,,A,,0.5,131,,Animation Sequence,
Arrow Panel 5,2020,Eric Sandvig,Traffic Control & Security,,,,A,,0.5,131,,,
Arrow Panel 6,2020,Eric Sandvig,Traffic Control & Security,,,,A,,0.5,131,,,
Arrow Panel 6,2020,Eric Sandvig,Traffic Control & Security,,,,A,,0.5,131,,,
Arrow Panel 7,2020,Eric Sandvig,Traffic Control & Security,,,,A,,0.5,131,,,
Arrow Panel 7,2020,Eric Sandvig,Traffic Control & Security,,,,A,,0.5,131,,,
Arrow Right 1,2020,Eric Sandvig,Traffic Control & Security,,,,A,,0.5,131,,,2 Channel Dumb
Arrow Right 2,2020,Eric Sandvig,Traffic Control & Security,,,,A,,0.5,131,,,2 Channel Dumb
Arrow01,2019,,Traffic Control & Security,,,,A,,,500,,,
Arrow01,2019,,Traffic Control & Security,,,,A,,,500,,,
Arrow01,2019,,Traffic Control & Security,,,,A,,,500,,,
Arrow02,2019,,Traffic Control & Security,,,,A,,,500,,,
Arrow02,2019,,Traffic Control & Security,,,,A,,,500,,,
Arrow02,2019,,Traffic Control & Security,,,,A,,,500,,,
Bridge Bell 01,2012,Greg/Eric,Christmas ,,,,M,LOR1602Wg2,0.29,504,,,
Bridge Bell 02,2012,Greg/Eric,Christmas ,,,,M,LOR1602Wg2,0.29,504,,,
Bridge Bell 03,2012,Greg/Eric,Christmas ,,,,M,LOR1602Wg2,0.29,504,,,
Bridge Bell 04,2012,Greg/Eric,Christmas ,,,,M,LOR1602Wg2,0.29,504,,,
Bridge Bell 05,2012,Greg/Eric,Christmas ,,,,M,LOR1602Wg2,0.29,504,,,
Bridge Bell 06,2012,Greg/Eric,Christmas ,,,,M,LOR1602Wg2,0.29,504,,,
Bridge Bell 07,2012,Greg/Eric,Christmas ,,,,M,LOR1602Wg2,0.29,504,,,
Bridge Bell 08,2012,Greg/Eric,Christmas ,,,,M,LOR1602Wg2,0.29,504,,,
Bridge Bell 09,2012,Greg/Eric,Christmas ,,,,M,LOR1602Wg2,0.29,504,,,
Bridge Bell 10,2012,Greg/Eric,Christmas ,,,,M,LOR1602Wg2,0.29,504,,,
Bridge Bell 11,2012,Greg/Eric,Christmas ,,,,M,LOR1602Wg2,0.29,504,,,
Bridge Bell 12,2012,Greg/Eric,Christmas ,,,,M,LOR1602Wg2,0.29,504,,,
Bridge Bell 13,2012,Greg/Eric,Christmas ,,,,M,LOR1602Wg2,0.29,504,,,
Bridge Bell 14,2012,Greg/Eric,Christmas ,,,,M,LOR1602Wg2,0.29,504,,,
Bridge Bell 15,2022,Greg/Eric,Christmas ,,,,M,LOR1602Wg2,0.29,504,,,
Bridge Bell 16,2022,Greg/Eric,Christmas ,,,,M,LOR1602Wg2,0.29,504,,,
Bright 1 ,2018,Eric Sandvig,Event Info,,,,,,2.38,623,,Inc 13mm,
Bright 2,2014,Eric Sandvig,Event Info,,,,A,LOR1602Wg2,5.32,1393,,,
Bright 3,2023,Eric Sandvig,Event Info,,,,A,CTB04_PC,0.64,,,,
Bruce The Spruce,2021,Greg Liebig,Christmas ,,,,,,,600,,Separate Poser Cord 14 gauge,
Candle,2012,Hospice Donation,Christmas ,,,,,,,,,,
